,Aggression,Videos,Electronic_games,Siblings,Nutrition,Parental_Approach,UK.US,UK_US
415,0.05,0.09,0.28,-0.11,0.08,-1,US,0
416,0.05,-0.15,0.09,0.03,-0.05,-0.28,US,0
417,0.05,-0.18,0.05,0.09,0.02,-0.36,US,0
418,0.05,-0.35,-0.11,0.19,0.47,1.18,US,0
419,0.06,0.06,0,0.02,0.01,0.18,UK,1
420,0.06,-0.45,-0.21,-0.22,-0.02,-1.16,UK,1
421,0.06,0.28,0.03,-0.15,-0.27,0.29,UK,1
422,0.06,-0.12,-0.01,0.28,0.04,-0.27,UK,1
423,0.06,-0.05,0.01,0.18,0.25,0.73,UK,1
424,0.06,-0.35,0.06,-0.01,-0.08,0.83,US,0
425,0.07,-0.55,-0.49,-0.48,0.31,-1.88,UK,1
426,0.07,0.54,-0.95,-0.6,-0.23,-0.86,UK,1
427,0.07,0.15,0,-0.15,-0.06,0.59,UK,1
428,0.07,-0.05,0.08,0.05,-0.12,0.05,UK,1
429,0.07,-0.02,-0.09,0.1,-0.17,0.17,US,0
430,0.07,0.21,-0.06,0.18,-0.09,0.84,US,0
431,0.08,0.21,-0.06,0.28,0.05,0.22,UK,1
432,0.08,-0.12,-0.13,0.12,-0.03,-0.67,UK,1
433,0.08,0.42,0.63,0.79,0.7,0.56,UK,1
434,0.08,0.06,-0.02,0.03,-0.04,0,UK,1
435,0.08,0.22,-0.07,0.26,0.36,1.37,UK,1
436,0.08,0.25,0.44,0.14,0.34,0.07,UK,1
437,0.08,-0.1,0.25,0.02,-0.03,-0.7,UK,1
438,0.08,-0.11,-0.08,-0.08,0.34,0.3,US,0
439,0.08,-0.02,0.16,0.01,0.12,-0.26,US,0
440,0.09,-0.05,0.15,-0.55,-0.27,0.12,UK,1
441,0.09,-0.01,0.21,0.21,0.28,-0.05,UK,1
442,0.09,0.09,-0.24,0.17,-0.2,0.6,UK,1
443,0.09,0.25,0.02,0.19,0.33,2.06,UK,1
444,0.09,0.06,0.02,0.06,-0.04,0.43,US,0
445,0.09,-0.2,0.1,-0.06,0.02,-0.85,US,0
446,0.09,-0.26,-0.57,0.2,-0.17,-1.22,US,0
447,0.09,0.07,0.06,-0.01,-0.07,0.15,US,0
448,0.09,-0.01,-0.09,-0.05,-0.04,0.2,US,0
449,0.09,-0.25,-0.43,0.04,0.73,0.69,US,0
450,0.09,-0.15,0.02,0.21,-0.04,-0.12,US,0
451,0.09,-0.19,0.01,-0.19,-0.01,-0.14,US,0
452,0.1,0.29,0.06,-0.36,-0.23,0.95,UK,1
453,0.1,0.11,0.14,-0.11,-0.03,0.62,UK,1
454,0.1,-0.02,-0.07,-0.09,-0.08,-0.77,UK,1
455,0.1,-0.01,-0.09,-0.06,-0.25,0.18,US,0
456,0.1,0.62,-0.06,0.53,0.21,1.5,US,0
457,0.1,-0.15,0.13,-0.7,-0.15,-0.11,US,0
458,0.1,0.08,0.23,0.21,0.38,0.51,US,0
459,0.1,0.12,-0.09,0.04,0.09,0.21,US,0
460,0.1,0.14,0.29,-0.03,0.21,0.49,US,0
461,0.1,0.04,-0.01,-0.01,0.02,-0.19,US,0
462,0.1,0.09,0.04,0.12,0.03,0.11,US,0
463,0.1,-0.2,0.13,0.09,-0.1,-0.48,US,0
464,0.11,-0.11,0.24,-0.01,-0.06,0.36,UK,1
465,0.11,0.08,-0.05,-0.3,-0.14,0.03,UK,1
466,0.11,0.07,-0.11,0.43,0.32,0.74,US,0
467,0.11,0.35,-0.65,0.11,0.14,0.79,US,0
468,0.11,0.03,-0.07,0.33,-0.07,-0.58,US,0
469,0.11,-0.02,-0.22,-0.15,0.29,0.85,US,0
470,0.12,0.73,-0.21,-0.35,0.67,2.98,UK,1
471,0.12,-0.41,0.38,0.08,0.45,-0.36,UK,1
472,0.12,0.11,-0.11,-0.01,-0.17,-0.22,US,0
473,0.12,0.2,-0.27,-0.1,-0.08,0.39,US,0
474,0.12,0.08,0.22,-0.02,0.2,-0.04,US,0
475,0.12,0.19,0.05,0.11,0.08,0.51,US,0
476,0.12,-0.02,-0.06,0.09,0.11,-0.44,US,0
477,0.13,0.19,0.31,0.51,-0.66,0.09,UK,1
478,0.13,-0.15,-0.35,-0.13,-0.27,-1.26,UK,1
479,0.13,0.1,0.24,0.11,-0.16,0.56,UK,1
480,0.13,0.04,0.11,0.28,0.27,0.28,UK,1
481,0.13,0.14,0.14,-0.2,-0.32,-0.21,UK,1
482,0.13,-0.13,0.11,-0.48,-0.08,-0.43,UK,1
483,0.13,-0.02,-0.09,-0.17,-0.44,0.31,US,0
484,0.13,0.75,0.56,0.3,0.82,2.41,US,0
485,0.13,-0.2,-0.02,0.21,0.11,0.08,US,0
486,0.14,0,0.01,0.16,-0.08,0.41,UK,1
487,0.14,-0.17,0.68,0.64,0.66,1.33,UK,1
488,0.14,0.98,-0.32,-0.18,0,3.99,UK,1
489,0.14,-0.08,-0.26,-0.26,0.07,0.34,UK,1
490,0.14,0.2,0.57,0.22,0.24,0,UK,1
491,0.14,0.32,0.69,0.91,0.71,-0.22,UK,1
492,0.14,0,-0.08,0,-0.02,0.43,US,0
493,0.14,-0.02,0.33,-0.11,0.15,0.08,US,0
494,0.14,0.08,-0.21,-0.03,0.1,-0.12,US,0
495,0.14,-0.23,0.12,-0.04,-0.1,-0.4,US,0
496,0.14,-0.78,-0.04,-0.65,-0.15,-1.53,US,0
497,0.15,0.02,-0.24,0.14,0.21,0.2,UK,1
498,0.15,-0.02,0.19,0.03,0.07,0.97,UK,1
499,0.15,-0.28,-0.36,0.11,-0.32,-0.19,UK,1
500,0.15,-0.13,0.18,0,0.03,-0.26,UK,1
501,0.15,-0.15,0.3,-0.17,-0.47,-1.2,UK,1
502,0.15,-0.16,-0.44,0.04,0.13,-0.16,UK,1
503,0.15,-0.18,-0.06,0.38,-0.04,-0.72,US,0
504,0.15,-0.02,0.04,0.34,0.04,0.51,US,0
505,0.15,-0.15,-0.32,-0.51,-0.15,-1.32,US,0
506,0.15,0.34,0.17,0.43,-1.25,-0.42,US,0
507,0.16,0.2,0.32,-0.15,-0.37,-1.74,UK,1
508,0.16,0.42,-0.16,0.49,1.19,1.78,UK,1
509,0.16,-0.27,-0.08,-0.33,-0.04,-0.67,UK,1
510,0.16,-0.05,0.03,-0.25,-0.4,0.41,UK,1
511,0.16,0.01,0.02,-0.23,-0.08,0.49,US,0
512,0.16,0,-0.22,0.14,0.05,-0.52,US,0
513,0.16,0.21,-0.16,0.71,-0.12,-1.96,US,0
514,0.16,-0.9,-0.31,-0.91,-0.27,-0.82,US,0
515,0.17,0.06,-0.09,0.09,-0.21,-0.29,UK,1
516,0.17,0.25,-0.08,-0.2,-0.7,1.17,UK,1
517,0.17,0.44,0.17,0.25,-0.37,0.89,UK,1
518,0.17,-0.04,-0.09,0.06,0.02,-0.47,UK,1
519,0.17,0.18,-0.3,0.18,-0.31,0.22,UK,1
520,0.18,0.25,0.61,0.14,0.14,0.34,UK,1
521,0.18,0.2,-0.3,-0.02,0.31,1.46,UK,1
522,0.18,0.18,-0.31,-0.06,0,-0.25,UK,1
523,0.18,0.67,0.21,-0.29,-0.08,-0.85,UK,1
524,0.18,-0.99,-0.01,-0.5,0.8,-0.4,US,0
525,0.18,-0.47,0.34,-0.09,0.43,-0.5,US,0
526,0.18,0.87,-0.37,0.37,0.09,1.49,US,0
527,0.19,-0.28,0.15,0.43,0.16,-0.68,UK,1
528,0.19,-0.67,-0.17,-0.06,0.42,-0.27,UK,1
529,0.19,0.15,-0.2,0.27,-0.13,-0.7,UK,1
530,0.2,0.05,0.26,-0.18,-0.11,0.31,UK,1
531,0.2,0.28,0.29,-0.28,0.16,1.8,UK,1
532,0.2,0.26,0.14,0.2,-0.61,-0.68,UK,1
533,0.2,-0.1,0.17,0.43,-0.06,-0.86,US,0
534,0.2,-0.07,0.08,0.07,-0.18,-0.87,US,0
535,0.21,-0.03,-0.22,0,-0.03,-0.24,UK,1
536,0.21,0.09,-0.22,-0.06,-0.29,-0.11,UK,1
537,0.21,0.02,0.05,0.1,0.23,0.32,UK,1
538,0.21,0.23,-0.76,-0.54,-0.12,0.69,UK,1
539,0.21,0.13,0.31,-0.35,0.75,-0.12,US,0
540,0.22,-0.66,0.82,0.35,0.12,-2.16,UK,1
541,0.22,-0.25,-0.05,-0.1,-0.21,-0.7,US,0
542,0.23,-0.01,-0.23,0.12,-0.57,-0.12,UK,1
543,0.23,0.06,-0.04,-0.14,-0.03,0.29,UK,1
544,0.23,0.57,-0.13,-0.15,-0.18,-0.07,US,0
545,0.24,-0.09,-0.59,0.07,0.11,-0.45,US,0
546,0.25,-0.12,-0.17,-0.51,0.04,-0.46,UK,1
547,0.25,0.07,0.98,0.73,0.15,-1.22,US,0
548,0.25,-0.12,-0.18,0.26,0.36,1.29,US,0
549,0.26,0.35,0.52,0.2,-0.14,1.2,US,0
550,0.26,0.1,0.12,0.26,0.55,1.56,US,0
551,0.27,-0.1,-0.52,-0.46,-0.13,-0.9,UK,1
552,0.27,0.48,-0.17,0.13,-0.23,1.73,US,0
553,0.27,0.48,-0.5,0.14,0.1,1.06,US,0
554,0.27,0.39,0.59,0.36,0.07,1.48,US,0
555,0.28,-0.22,-0.05,-0.1,0.11,0.14,UK,1
556,0.28,-0.17,-0.12,-0.09,-0.25,-0.78,UK,1
557,0.28,-0.11,0.46,-0.27,-0.85,-0.79,US,0
558,0.28,0.15,0.23,-0.58,0.27,0.94,US,0
559,0.29,0.32,0.21,-0.06,0.39,2.28,UK,1
560,0.29,0.29,0.29,0.07,0.27,0.85,US,0
561,0.3,-0.15,-0.04,-0.31,-0.05,1.3,UK,1
562,0.3,-0.12,0.16,-0.44,0.39,0.51,US,0
563,0.31,0.34,0.23,-0.71,-0.23,-1.46,UK,1
564,0.31,0.37,0.05,0.14,0.26,1.44,UK,1
565,0.31,0.57,0.23,0.18,0.05,0.96,UK,1
566,0.31,-0.12,-0.14,-0.04,0.2,-0.05,US,0
567,0.31,0.59,0.78,0.95,-0.42,1.19,US,0
568,0.31,-0.62,-0.32,-0.16,-0.34,-1.51,US,0
569,0.32,-0.18,-0.75,0.02,-0.26,-0.12,UK,1
570,0.32,0.37,-0.03,0.32,0.43,2.15,UK,1
571,0.32,0.59,0.26,0.13,0.05,1.39,UK,1
572,0.32,-0.61,0.19,-0.2,0.5,-1.39,US,0
573,0.32,0.39,-0.11,0.34,0.14,0.25,US,0
574,0.33,-0.05,-0.66,0.16,-0.3,-0.38,UK,1
575,0.33,-0.8,-0.42,-0.22,-0.2,-1.16,UK,1
576,0.33,0.03,0.32,0.72,0.67,0.43,US,0
577,0.34,0.42,0.88,0.01,0.43,1.99,UK,1
578,0.34,-0.77,-0.56,0.4,0.44,-0.87,UK,1
579,0.34,-0.01,0.25,0.39,-0.41,0.29,US,0
580,0.34,-0.36,0.35,-0.07,-0.32,-0.4,US,0
581,0.35,0.27,0.16,0.22,-0.13,-1.45,UK,1
582,0.35,0.25,0.26,0.24,0.32,1.13,US,0
583,0.35,0.02,-0.44,0.23,-0.05,-1.76,US,0
584,0.35,0.15,0.35,0.12,0.2,1.67,US,0
585,0.36,0.02,-0.12,-0.33,-0.18,0.65,UK,1
586,0.36,0.75,0.21,0.25,-0.13,2.83,US,0
587,0.36,0.07,0.39,0,-0.22,0.56,US,0
588,0.36,-0.13,0.26,-0.16,0.03,0.96,US,0
589,0.37,0.17,0.14,-0.33,-0.11,-0.28,UK,1
590,0.37,-0.07,-0.02,0.46,-0.44,1.84,UK,1
591,0.37,0.23,0.19,0.59,0.39,0.78,UK,1
592,0.37,0.24,0.56,0.22,0.43,1.02,UK,1
593,0.37,0.17,0.14,-0.33,-0.11,-0.28,UK,1
594,0.38,0.13,0.45,-0.52,-0.05,0.48,UK,1
595,0.38,0.19,0.36,0.81,0.45,-0.06,US,0
596,0.39,0.21,-0.09,-0.25,-0.03,1.57,UK,1
597,0.39,0.16,-0.12,-0.16,-0.4,0.45,UK,1
598,0.39,0.04,0.18,0.04,0.29,2.14,UK,1
599,0.39,-0.07,0.57,0.02,0.43,-1.07,US,0
600,0.39,-0.05,0.28,0.34,0.19,-0.01,US,0
601,0.4,0.22,-0.12,0.05,-0.88,0.63,UK,1
602,0.4,0.22,-0.04,0.33,0.08,-0.3,UK,1
603,0.4,-0.13,-0.05,0.22,-0.27,-1.21,UK,1
604,0.4,0.1,0.17,0.09,0.35,0.93,UK,1
605,0.4,0.52,-0.18,-0.29,-0.36,1.3,US,0
606,0.4,-0.07,0.03,0.01,0.3,-0.05,US,0
607,0.4,-0.28,-0.12,-0.07,-0.06,-1.12,US,0
608,0.4,0.37,0.25,0.27,0.19,0.43,US,0
609,0.41,-0.37,-0.74,0,-1,-0.13,UK,1
610,0.41,-0.56,0.3,-0.07,0.45,-0.89,UK,1
611,0.41,0.32,-0.17,-0.33,-0.87,-0.75,US,0
612,0.41,0.25,0.12,0.03,-0.06,-0.23,US,0
613,0.41,0.22,0.19,0.19,0,1.39,US,0
614,0.42,-0.06,0.07,-0.09,0.54,2.12,UK,1
615,0.42,-0.08,0.31,0.02,0.03,-0.43,US,0
616,0.43,0.21,-0.11,-0.16,-0.08,1.66,US,0
617,0.43,0.24,-0.76,-0.43,-0.45,1.16,US,0
618,0.44,0.17,0.68,0.29,-0.14,1.43,US,0
619,0.44,0.16,-0.02,0.24,0.38,-0.3,US,0
620,0.44,-0.25,0.42,0.45,0.25,1.19,US,0
621,0.45,-0.6,0.26,0.18,-0.25,-0.27,US,0
622,0.46,-0.33,0.61,0.36,0.2,0.41,UK,1
623,0.46,-0.04,-0.02,-0.42,0.26,-1.49,US,0
624,0.47,0.16,-0.01,0.03,0.54,-0.59,UK,1
625,0.47,0.04,-0.04,-0.44,-0.21,0.2,US,0
626,0.47,-0.29,-0.06,-0.03,-0.39,-0.7,US,0
627,0.47,-0.34,-0.31,-0.57,-0.74,-1.1,US,0
628,0.48,0.02,0.14,0.32,0.05,1.05,US,0
629,0.49,0.07,0.06,-0.5,-1.09,0.88,US,0
630,0.5,-0.22,0.62,-0.04,0.4,-0.58,UK,1
631,0.51,0.27,0.14,-0.13,0.18,1.24,US,0
632,0.53,-0.34,0.31,-0.04,0.56,0.04,UK,1
633,0.54,-0.11,0.44,0.43,-0.33,0.63,UK,1
634,0.54,-0.22,0.24,-0.11,-0.53,-0.62,US,0
635,0.55,-0.2,0.8,0.07,-0.44,2.63,UK,1
636,0.56,0.52,0.45,0.12,-0.23,0.91,US,0
637,0.56,0.38,-0.15,-0.51,-0.35,-0.49,US,0
638,0.57,0.45,0.03,0.34,-0.19,0.85,UK,1
639,0.58,-0.74,-0.51,-0.19,-0.75,-2.85,UK,1
640,0.59,0.63,-0.26,0.39,0.21,-0.33,UK,1
641,0.59,-0.14,-0.56,0.01,-0.07,1.55,US,0
642,0.6,0.16,0.09,0.26,-0.14,1.69,UK,1
643,0.61,-0.29,0.33,-0.01,-0.22,2.05,US,0
644,0.62,-0.43,-0.09,-0.11,-0.78,0.3,UK,1
645,0.62,-0.18,-0.14,0.34,-0.6,-1.03,UK,1
646,0.62,-0.1,0.75,0.48,0.06,-0.17,US,0
647,0.63,-0.12,-0.02,-0.13,-0.02,0.1,UK,1
648,0.64,-0.27,0.85,0.14,0.45,0.45,UK,1
649,0.65,-0.35,-0.07,0.18,0.5,-3.13,US,0
650,0.65,-0.36,-0.19,-0.18,0.4,0.15,US,0
651,0.66,-0.01,0.32,0.01,0.17,0.65,UK,1
652,0.66,-0.4,-0.19,0.7,0.19,0.89,UK,1
653,0.68,-0.43,-0.2,-0.05,0.15,0.62,US,0
654,0.69,0.44,0.17,0.44,0.7,1.67,UK,1
655,0.71,-0.26,1.08,-0.57,0.37,2.46,UK,1
656,0.74,0.05,0.07,0.74,0.36,0.92,UK,1
657,0.74,-0.06,-0.15,-0.1,-0.34,0.14,US,0
658,0.75,-0.46,-0.71,0.32,0.16,-1.33,UK,1
659,0.77,-0.03,0.71,0.58,-0.02,-1.25,UK,1
660,0.77,-0.01,0.93,0.56,0.3,0.32,UK,1
661,0.81,0.14,1.24,1.1,0.79,-0.02,UK,1
662,0.84,-0.53,0.63,0.01,-0.05,0.24,UK,1
663,0.85,0.08,-0.93,0.74,0.03,-0.75,UK,1
664,1.07,0.39,0.66,0.17,1.16,0.47,US,0
665,1.13,-0.07,-0.08,-0.61,-0.51,-0.65,UK,1
666,1.14,0.26,0.67,-0.22,-1.28,-0.98,UK,1
667,1.18,-0.14,-0.26,0.73,0.21,2.15,US,0
